,MAE,RMSE,R2,Pearson_R
RAW,0.38092888,0.3887950471405519,0.39324486434639283,0.9817667103594224
ISOTONIC,0.3253483421877027,0.4946217812205187,0.017984172568021317,0.5145611720557692
POSITIVE_SLOPE_LINEAR,0.2606412689579745,0.3139562591164183,0.6043507883581642,0.9817667103594225
