method,actual_std,prediction_std,prediction_target_std_ratio
RAW,0.4049457048296753,0.11016892620728903,0.2720585127668593
POSITIVE-SLOPE LINEAR,0.4049457048296753,0.13831034363030162,0.3415528106131574
ISOTONIC,0.4049457048296753,0.03548147417094807,0.08762032476890198
