Split,Sample_Count,MAE,RMSE,R2,Pearson_R,Spearman_R,Prediction_Mean,Prediction_STD,Actual_Mean,Actual_STD,Prediction_Min,Prediction_Max,Target_Min,Target_Max,Variance_Ratio
TRAIN,64,0.06703628599643707,0.09642701895948848,0.8686219453811646,0.9503249,0.8949633699633699,3.110779,0.20848243,3.1288898,0.2681372,2.2788217,3.5070689,2.1480849,3.8059628,0.7775215
VALIDATION,14,0.19022761285305023,0.20981832584591514,-3.139073371887207,0.52394557,0.1164835164835165,3.0327358,0.04466579,3.2229633,0.107024744,2.955036,3.1249263,3.117221,3.5517058,0.4173408
TEST,14,0.5045487284660339,0.5189726558512365,-0.7688052654266357,0.9379352,0.4593406593406593,2.9431882,0.110168934,3.3715618,0.40494573,2.5894334,3.0418851,2.056206,3.6476896,0.27205852
