n,fz,Ap,observations,Sets_per_configuration
2547.0,0.03,1.0,29,1
2547.0,0.05,0.5,29,1
2547.0,0.08,1.0,72,1
2866.0,0.06,0.5,125,1
3184.0,0.03,1.0,131,2
3184.0,0.05,0.5,29,1
3184.0,0.05,1.0,81,1
3705.0,0.04,1.0,155,2
3705.0,0.043,1.0,78,1
3705.0,0.045,1.0,78,1
3705.0,0.048,0.5,78,1
3705.0,0.048,1.0,76,1
3705.0,0.05,0.5,78,1
3705.0,0.05,1.0,69,1
