perturbation,samples,mean_raw_absolute_change,max_raw_absolute_change,mean_calibrated_absolute_change,max_calibrated_absolute_change
brightness_minus_10,14,0.020979932376316617,0.06973934173583984,0.026339020958133372,0.08755347494161958
brightness_plus_10,14,0.07336665902818952,0.1682600975036621,0.09210734978121889,0.21124025354673748
contrast_minus_10,14,0.01553915228162493,0.04871773719787598,0.01950845456867976,0.06116213713520935
contrast_plus_10,14,0.025195462363106862,0.06725859642028809,0.03163136083226232,0.08443905103947857
original,14,0.0,0.0,0.0,0.0
