perturbation,noise_level,samples,mean_raw_absolute_change,max_raw_absolute_change,mean_calibrated_absolute_change,max_calibrated_absolute_change
noise_plus_minus_10pct,0.1,14,0.03350700650896345,0.07546114921569824,0.04206599577414113,0.0947368540120177
noise_plus_minus_1pct,0.01,14,0.0037078005926949637,0.012265682220458984,0.004654916696958341,0.015398813269539957
noise_plus_minus_3pct,0.03,14,0.008605190685817174,0.022243738174438477,0.01080329019927311,0.027925651782612082
noise_plus_minus_5pct,0.05,14,0.02064793450491769,0.05064964294433594,0.025922217951527843,0.06358752655174449
original,0.0,14,0.0,0.0,0.0,0.0
