condition,samples,mean_raw_absolute_change,max_raw_absolute_change,mean_calibrated_absolute_change,max_calibrated_absolute_change
brightness_minus_10_sensor_5pct,14,0.028678246906825473,0.08181166648864746,0.03600378365251993,0.10270953974555308
brightness_plus_10_sensor_5pct,14,0.08859515190124512,0.20501232147216797,0.11122579047729023,0.2573804212079662
contrast_minus_10_sensor_5pct,14,0.031025239399501255,0.08037114143371582,0.038950289072287224,0.10090104871078731
contrast_plus_10_sensor_5pct,14,0.031187994139535085,0.09089517593383789,0.03915461768650265,0.1141133298702699
original,14,0.0,0.0,0.0,0.0
